,index,cpu,batch size,start time,end time,avg latency (ms),99th percentile (ms),95th percentile (ms),num queries
181,ivf,56,256,2024-10-25 07:30:47.898959,2024-10-25 07:54:45.595428,3823.596005319149,4008.1295,3953.3585,96256
182,ivf,56,512,2024-10-25 08:07:41.698734,2024-10-25 08:31:58.842740,7750.703239361701,7952.70765,7921.38955,96256
183,ivf,56,1024,2024-10-25 08:57:53.034474,2024-10-25 09:22:07.890088,15477.120872340425,15810.371089999999,15709.355099999999,96256
56,ivf,64,8,2024-10-20 03:59:41.884171,2024-10-20 04:02:41.826458,359.840412,571.5462599999997,471.9703499999998,4000
57,ivf,64,16,2024-10-20 04:03:14.725802,2024-10-20 04:06:07.342801,345.18641599999995,475.7676399999999,411.61159999999995,8000
58,ivf,64,32,2024-10-20 04:06:49.409412,2024-10-20 04:10:29.735613,440.605282,559.99325,503.44224999999994,16000
59,ivf,64,64,2024-10-20 04:11:44.792467,2024-10-20 04:18:15.656186,781.6748500000001,854.8258099999999,832.4540499999999,32000
60,ivf,64,128,2024-10-20 04:21:03.622754,2024-10-20 04:35:27.651110,1728.0060359999998,1834.1034799999998,1795.3885,64000
61,ivf,64,256,2024-10-20 04:41:04.410376,2024-10-20 05:02:05.260789,3353.27177393617,3502.8615,3462.44625,96256
62,ivf,64,512,2024-10-20 05:13:28.949606,2024-10-20 05:34:51.768404,6823.450430851064,7116.04222,6993.95295,96256
63,ivf,64,1024,2024-10-20 05:57:40.841998,2024-10-20 06:18:54.512529,13549.631595744684,13889.400759999999,13797.71595,96256
112,ivf,72,8,2024-10-25 01:20:56.682076,2024-10-25 01:23:42.634479,331.84045,653.3799199999996,423.2437,4000
113,ivf,72,16,2024-10-25 01:24:14.327439,2024-10-25 01:26:59.508805,330.30279,481.3086299999999,376.29175,8000
114,ivf,72,32,2024-10-25 01:27:37.509503,2024-10-25 01:31:07.253846,419.42702,554.13981,461.71575,16000
115,ivf,72,64,2024-10-25 01:32:17.763573,2024-10-25 01:38:31.797502,747.9977819999999,823.11592,793.57095,32000
