,Grid CI (gCO2eq/kWh),Grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq)
36,360,0.0001,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",17.058258044720777,17.09764823681998,17.09764823681998,41.32469641180274,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,16.30871078046326,16.2216670001262,16.2216670001262,40.98819478387967
37,370,0.00010277777777777778,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",17.511277788622532,17.548250097934595,17.548250097934595,42.463257378021616,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,16.761730524365017,16.672268861240816,16.672268861240816,42.126755750098546
38,380,0.00010555555555555555,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",17.964297532524288,17.99885195904921,17.99885195904921,43.60181834424049,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,17.214750268266773,17.122870722355433,17.122870722355433,43.26531671631742
39,390,0.00010833333333333333,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",18.417317276426047,18.449453820163825,18.449453820163825,44.740379310459375,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,17.667770012168532,17.573472583470046,17.573472583470046,44.403877682536304
40,400,0.00011111111111111112,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",18.870337020327806,18.900055681278445,18.900055681278445,45.87894027667826,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,18.12078975607029,18.024074444584667,18.024074444584667,45.54243864875519
41,410,0.00011388888888888889,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",19.323356764229562,19.350657542393062,19.350657542393062,47.01750124289713,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,18.573809499972047,18.474676305699283,18.474676305699283,46.68099961497406
42,420,0.00011666666666666667,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",19.776376508131317,19.801259403507675,19.801259403507675,48.156062209116016,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,19.026829243873802,18.925278166813897,18.925278166813897,47.819560581192945
43,430,0.00011944444444444444,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",20.229396252033077,20.251861264622292,20.251861264622292,49.29462317533489,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,19.47984898777556,19.375880027928513,19.375880027928513,48.95812154741182
44,440,0.00012222222222222221,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",20.682415995934832,20.70246312573691,20.70246312573691,50.43318414155377,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,19.932868731677317,19.82648188904313,19.82648188904313,50.0966825136307
45,450,0.000125,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",21.13543573983659,21.153064986851525,21.153064986851525,51.57174510777265,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,20.385888475579076,20.277083750157747,20.277083750157747,51.23524347984958
46,460,0.0001277777777777778,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",21.58845548373835,21.603666847966146,21.603666847966146,52.71030607399154,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,20.838908219480835,20.727685611272367,20.727685611272367,52.37380444606847
47,470,0.00013055555555555555,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",22.041475227640102,22.05426870908076,22.05426870908076,53.84886704021041,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,21.291927963382587,21.17828747238698,21.17828747238698,53.51236541228734
48,480,0.00013333333333333334,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",22.49449497154186,22.50487057019538,22.50487057019538,54.98742800642929,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,21.744947707284346,21.6288893335016,21.6288893335016,54.65092637850622
49,490,0.0001361111111111111,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",22.947514715443617,22.955472431309992,22.955472431309992,56.125988972648166,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,22.197967451186102,22.079491194616214,22.079491194616214,55.789487344725096
50,500,0.0001388888888888889,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",23.400534459345376,23.40607429242461,23.40607429242461,57.26454993886705,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,22.65098719508786,22.53009305573083,22.53009305573083,56.92804831094398
51,510,0.00014166666666666668,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",23.853554203247135,23.85667615353923,23.85667615353923,58.40311090508593,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,23.10400693898962,22.98069491684545,22.98069491684545,58.06660927716286
52,520,0.00014444444444444444,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",24.30657394714889,24.307278014653843,24.307278014653843,59.54167187130481,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,23.557026682891376,23.431296777960064,23.431296777960064,59.20517024338174
53,530,0.00014722222222222223,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",24.75787987576846,24.75787987576846,24.75787987576846,60.68023283752369,0.8759812366937787,0.8759812366937787,0.8759812366937787,0.3365016279230731,23.88189863907468,23.88189863907468,23.88189863907468,60.34373120960062
